anchor_date,gate_patch_2,gate_patch_4,gate_patch_8,gate_patch_10,gate_patch_12
2024-05-17,0.12098233,0.15072224,0.21850295,0.32118937,0.18860309
2024-05-20,0.058207143,0.21725415,0.15998496,0.30629542,0.25825828
2024-05-21,0.12286761,0.23398699,0.16953348,0.23496427,0.2386476
2024-05-22,0.10507877,0.25275382,0.13023084,0.22996408,0.28197247
2024-05-23,0.060888622,0.33043265,0.10560255,0.2566647,0.24641147
2024-05-24,0.13630885,0.39097464,0.11606384,0.22121231,0.13544036
2024-05-28,0.2037158,0.31165865,0.103154115,0.19794758,0.18352377
2024-05-29,0.1914387,0.4285362,0.08192098,0.12120938,0.17689468
2024-05-30,0.32678348,0.3495096,0.09610654,0.068011045,0.15958935
2024-05-31,0.35843942,0.3399626,0.110204294,0.039278157,0.15211552
2024-06-03,0.5598741,0.2054147,0.09944457,0.02586349,0.109403126
2024-06-04,0.5702865,0.1307253,0.16114913,0.03302969,0.104809344
2024-06-05,0.49352172,0.18495508,0.14347027,0.051777806,0.12627517
2024-06-06,0.36715707,0.12733607,0.24966577,0.07199338,0.18384774
2024-06-07,0.38079083,0.12246049,0.2320416,0.11825455,0.14645252
2024-06-10,0.102470405,0.07031788,0.30616987,0.3228317,0.19821016
2024-06-11,0.028832147,0.08536839,0.13982962,0.44502768,0.30094215
2024-06-12,0.02635506,0.17554098,0.12893914,0.38812992,0.2810349
2024-06-13,0.05944906,0.25654873,0.13702777,0.3431504,0.20382401
2024-06-14,0.15440811,0.28082353,0.117587335,0.26089257,0.18628846
2024-06-17,0.3094296,0.23067543,0.13486248,0.1356485,0.18938401
2024-06-18,0.34038377,0.25114828,0.13830931,0.069618076,0.20054053
2024-06-20,0.36349633,0.19470693,0.20944212,0.042773973,0.1895806
2024-06-21,0.42175224,0.0952714,0.2856068,0.040012904,0.1573567
2024-06-24,0.31975216,0.07217456,0.35654488,0.093893014,0.15763551
2024-06-25,0.1324369,0.06370236,0.37060645,0.26834318,0.16491117
2024-06-26,0.057459533,0.06564275,0.2728408,0.41949096,0.1845659
2024-06-27,0.03945428,0.067343906,0.21575433,0.43713808,0.24030946
2024-06-28,0.03888329,0.07924051,0.22585207,0.40605244,0.24997176
