anchor_date,gate_patch_2,gate_patch_4,gate_patch_8,gate_patch_12
2024-08-02,0.12590453,0.08488679,0.49055418,0.29865444
2024-08-05,0.09442937,0.25613046,0.3329469,0.3164933
2024-08-06,0.17471817,0.1438219,0.17696899,0.504491
2024-08-07,0.16402781,0.13943751,0.24745083,0.44908386
2024-08-08,0.1449589,0.10943066,0.42523977,0.32037067
2024-08-09,0.07718952,0.20198168,0.39912266,0.3217062
2024-08-12,0.124411896,0.21930124,0.34450802,0.3117788
2024-08-13,0.16574535,0.1293456,0.4094505,0.29545859
2024-08-14,0.06845377,0.13793547,0.62041134,0.17319943
2024-08-15,0.06551583,0.19428201,0.5035379,0.23666425
2024-08-16,0.069444425,0.2141487,0.2084984,0.50790846
2024-08-19,0.14959912,0.118649155,0.29232696,0.43942475
2024-08-20,0.12192979,0.18270877,0.26707688,0.4282846
2024-08-21,0.10881337,0.19617912,0.30765665,0.38735086
2024-08-22,0.13384864,0.15333721,0.20043994,0.51237416
2024-08-23,0.18743627,0.11907235,0.22834915,0.4651422
2024-08-26,0.16865447,0.14564773,0.35181946,0.33387834
2024-08-27,0.09091077,0.08982967,0.6646355,0.15462406
2024-08-28,0.039368734,0.1782728,0.48793194,0.29442644
2024-08-29,0.21701851,0.15028965,0.1892988,0.443393
2024-08-30,0.10560397,0.13435467,0.23387904,0.52616227
2024-09-03,0.15710518,0.14023931,0.258943,0.44371247
2024-09-04,0.15798211,0.14489004,0.23091647,0.46621147
2024-09-05,0.11813042,0.16469993,0.21937244,0.49779716
2024-09-06,0.21059005,0.11363757,0.2260628,0.44970953
2024-09-09,0.15157425,0.13456565,0.1961644,0.5176957
2024-09-10,0.13297635,0.1435648,0.2413906,0.48206827
2024-09-11,0.11909206,0.13869996,0.22041711,0.52179086
2024-09-12,0.12537865,0.11739278,0.50240433,0.25482425
2024-09-13,0.0560162,0.12339445,0.65091354,0.16967581
2024-09-16,0.10535617,0.25496155,0.26349553,0.37618676
2024-09-17,0.18077195,0.10979032,0.15849301,0.55094475
2024-09-18,0.1468327,0.11435771,0.38754004,0.35126954
2024-09-19,0.09000727,0.16230276,0.46247876,0.2852112
2024-09-20,0.12750724,0.088537894,0.62076247,0.16319235
2024-09-23,0.09744327,0.2873853,0.22791687,0.38725457
2024-09-24,0.21710713,0.11454344,0.20499562,0.46335378
2024-09-25,0.081175044,0.094175614,0.6214349,0.2032145
2024-09-26,0.07215991,0.2200933,0.23225269,0.47549412
2024-09-27,0.18515351,0.1448973,0.34936243,0.32058677
2024-09-30,0.056488216,0.09901352,0.6567135,0.18778476
2024-10-01,0.069181,0.21970074,0.344135,0.3669832
2024-10-02,0.21263576,0.11110276,0.25077698,0.42548445
2024-10-03,0.14359102,0.15609382,0.20209025,0.49822485
2024-10-04,0.17814843,0.15835293,0.15862873,0.5048699
2024-10-07,0.16783695,0.13346311,0.2438265,0.4548735
2024-10-08,0.15597486,0.11234649,0.19795372,0.5337249
2024-10-09,0.15693928,0.14444347,0.19852409,0.5000931
2024-10-10,0.23509453,0.10091812,0.21700326,0.44698417
2024-10-11,0.16979739,0.15155526,0.3043455,0.37430188
