anchor_date,gate_patch_5,gate_patch_10,gate_patch_20,gate_patch_30
2024-07-11,0.4486718,0.25688487,0.13533181,0.15911154
2024-07-12,0.46671513,0.25624418,0.12178874,0.155252
2024-07-15,0.45718825,0.26940167,0.116889186,0.15652086
2024-07-16,0.48429212,0.25225225,0.11266497,0.15079062
2024-07-17,0.43932864,0.279172,0.13297391,0.14852537
2024-07-18,0.43279564,0.28063503,0.13688101,0.1496883
2024-07-19,0.43601465,0.26649594,0.15033638,0.14715308
2024-07-22,0.43043798,0.25602627,0.16093992,0.15259582
2024-07-23,0.42296794,0.24618673,0.17125107,0.1595942
2024-07-24,0.42017293,0.24552818,0.1879627,0.14633617
2024-07-25,0.41270554,0.2432944,0.1895271,0.15447304
2024-07-26,0.4189522,0.24236715,0.19091018,0.14777043
2024-07-29,0.43341738,0.23446636,0.18968168,0.14243457
2024-07-30,0.44182566,0.23558137,0.18205988,0.14053303
2024-07-31,0.42294458,0.23731627,0.19908245,0.14065677
2024-08-01,0.43457103,0.21454015,0.19390649,0.15698238
2024-08-02,0.41082272,0.21955441,0.19566877,0.17395407
2024-08-05,0.42291027,0.21039084,0.19066682,0.17603204
2024-08-06,0.38981554,0.21299633,0.20929469,0.1878935
2024-08-07,0.3968898,0.19418743,0.20851979,0.20040298
2024-08-08,0.39330098,0.18147714,0.2189463,0.20627561
2024-08-09,0.38962385,0.17245263,0.22304884,0.21487473
2024-08-12,0.38570088,0.17551838,0.216246,0.2225347
2024-08-13,0.38676998,0.17416652,0.20228206,0.23678134
2024-08-14,0.39265501,0.16790035,0.2061127,0.23333195
2024-08-15,0.40346822,0.17981522,0.18415439,0.23256208
2024-08-16,0.42620182,0.17182742,0.17525846,0.22671235
2024-08-19,0.43283692,0.17207164,0.16597113,0.22912033
2024-08-20,0.439243,0.17894791,0.16139455,0.22041452
2024-08-21,0.42516553,0.18576467,0.15890667,0.23016307
2024-08-22,0.44531363,0.17871344,0.15968576,0.21628712
2024-08-23,0.45716748,0.1896857,0.14844136,0.20470554
2024-08-26,0.4543761,0.18868788,0.15250501,0.204431
2024-08-27,0.45831385,0.19917226,0.15539044,0.18712355
2024-08-28,0.47917205,0.17846666,0.16200744,0.18035392
2024-08-29,0.46358508,0.19034803,0.18327838,0.16278854
2024-08-30,0.46050364,0.17801867,0.19298127,0.16849643
2024-09-03,0.4709368,0.1767743,0.19512518,0.15716372
2024-09-04,0.45639095,0.18962465,0.19182777,0.16215661
2024-09-05,0.4373503,0.20581855,0.19498058,0.16185057
2024-09-06,0.44128105,0.20659047,0.19703728,0.15509117
2024-09-09,0.43154845,0.23893522,0.16912186,0.16039449
2024-09-10,0.42855436,0.23920216,0.16313127,0.16911224
2024-09-11,0.41715157,0.27569062,0.14309028,0.1640674
2024-09-12,0.4037164,0.2764098,0.12609498,0.19377886
2024-09-13,0.4299118,0.2700989,0.122465014,0.17752433
2024-09-16,0.41754144,0.2548875,0.12746999,0.20010105
2024-09-17,0.42494208,0.23313713,0.13491477,0.20700602
2024-09-18,0.40112948,0.21398179,0.13513549,0.24975324
2024-09-19,0.37075126,0.1963817,0.15576895,0.27709812
2024-09-20,0.3871565,0.17324537,0.17082734,0.26877072
2024-09-23,0.36210805,0.17493156,0.17274395,0.2902165
2024-09-24,0.34290847,0.17794004,0.19758949,0.28156197
2024-09-25,0.3477363,0.17998292,0.18323746,0.28904334
2024-09-26,0.35359964,0.17675659,0.19393404,0.27570978
2024-09-27,0.3257936,0.18949236,0.18809085,0.29662317
2024-09-30,0.28877681,0.21817656,0.16922405,0.32382256
2024-10-01,0.20625615,0.27466387,0.1517398,0.36734018
2024-10-02,0.21406266,0.26403576,0.1629739,0.35892773
2024-10-03,0.17310165,0.3207907,0.13397257,0.37213504
2024-10-04,0.14504747,0.3134972,0.1578173,0.38363808
2024-10-07,0.14321116,0.32500273,0.1884496,0.34333646
2024-10-08,0.14974186,0.30552205,0.20029764,0.34443843
2024-10-09,0.14460903,0.2979706,0.20305866,0.35436174
2024-10-10,0.16845411,0.3091841,0.19844097,0.32392082
2024-10-11,0.20143875,0.3321054,0.18935046,0.27710536
2024-10-14,0.19915882,0.3530837,0.18980195,0.25795555
2024-10-15,0.18778554,0.36845243,0.17143483,0.2723272
2024-10-16,0.20249273,0.35152087,0.15291543,0.29307094
2024-10-17,0.22050458,0.38243937,0.13147783,0.2655782
