group,freqs,num_freqs,fusion,horizon,epochs_ran,elapsed_sec,train_samples,val_samples,test_samples,train_mse,train_mae,train_corr,train_rank_corr,train_direction_acc,train_pred_std,train_true_std,val_mse,val_mae,val_corr,val_rank_corr,val_direction_acc,val_pred_std,val_true_std,test_mse,test_mae,test_corr,test_rank_corr,test_direction_acc,test_pred_std,test_true_std,y_train_mean,y_train_std,test_mean_gate_patch_hourly_0,test_mean_gate_patch_hourly_1,test_mean_gate_patch_hourly_2,test_mean_gate_patch_hourly_3,test_mean_gate_patch_halfday_0,test_mean_gate_patch_halfday_1,test_mean_gate_patch_halfday_2,test_mean_gate_patch_halfday_3,test_mean_gate_patch_halfday_4,test_mean_gate_patch_daily_0,test_mean_gate_patch_daily_1,test_mean_gate_patch_daily_2,test_mean_gate_patch_daily_3,test_mean_gate_patch_weekly_0,test_mean_gate_patch_weekly_1,test_mean_gate_patch_weekly_2,test_mean_gate_patch_weekly_3,test_mean_gate_patch_weekly_4,test_mean_gate_patch_weekly_5
full_frequency,hourly+halfday+daily+weekly,4,concat,20d,19,1665.2945248750038,2553,547,548,10888.24609375,60.09376907348633,0.0139060312095073,-0.0041468380183652,0.4915785350567959,102.35441589355467,0.153127834200859,8585.111328125,43.94447326660156,0.0255056922576892,0.032722404764887,0.506398537477148,91.4467315673828,0.141805037856102,6147.8076171875,50.460453033447266,0.0113462883932262,0.014117676483808,0.4927007299270073,75.59149169921875,0.1454658061265945,0.00487852236256,0.153127834200859,0.2341645807027816,0.1788598597049713,0.294586032629013,0.2923895418643951,0.260673314332962,0.1618598252534866,0.2029644846916198,0.1402348577976226,0.2342675179243087,0.2108686417341232,0.3030790388584137,0.2060702592134475,0.2799820303916931,0.2503150403499603,0.1483422219753265,0.1927443742752075,0.0961526334285736,0.1686200052499771,0.1438257247209549
full_frequency,hourly+halfday+daily+weekly,4,concat,5d,23,2043.305394417024,2553,547,548,35.779972076416016,3.578695058822632,0.0125025981483035,0.0257827269883494,0.517822169996083,5.832901954650879,0.0759601891040802,22.800098419189453,3.694342374801636,-0.0605552329828265,-0.1135521871867023,0.4625228519195612,4.379603862762451,0.0752401202917099,41.01750183105469,5.149263381958008,-0.0015369558480886,0.0209100214228998,0.5328467153284672,5.489206314086914,0.0779148414731025,0.0011742518981918,0.0759601891040802,0.3298015296459198,0.261674165725708,0.239516019821167,0.1690082997083664,0.1437491029500961,0.0739830359816551,0.2087167501449585,0.213973194360733,0.3595779240131378,0.442411720752716,0.148610383272171,0.0652597397565841,0.3437181413173675,0.1375457346439361,0.2097133994102478,0.1888107359409332,0.1334962844848632,0.155656486749649,0.1747773736715316
single_daily,daily,1,concat,10d,57,2580.1409815839725,2553,547,548,255.25064086914065,12.301919937133787,-0.0457830981087094,-0.0261555107375333,0.4978456717587152,15.959288597106934,0.1072988510131836,748.2513427734375,20.397201538085938,-0.1337662421109655,-0.0530819655129389,0.5246800731261426,26.13748359680176,0.1028362661600112,273.43035888671875,12.923192024230955,0.0568935854448732,0.0371184241550495,0.5255474452554745,15.894543647766112,0.1023615449666976,0.0024258117191493,0.1072988510131836,,,,,,,,,,0.2262688279151916,0.2665027678012848,0.2365560084581375,0.2706724107265472,,,,,,
single_daily,daily,1,concat,20d,29,1304.184139708057,2553,547,548,1.3565728664398191,1.0088902711868286,-0.0585434974525706,-0.0766376247950351,0.5327066196631414,0.5939478874206543,0.153127834200859,5.756401538848877,2.222292900085449,-0.2462329489325122,-0.2160483734380515,0.5301645338208409,0.8589093685150146,0.141805037856102,12.60925006866455,3.414153575897217,-0.233214563117938,-0.2658793884801664,0.5291970802919708,0.9318897128105164,0.1454658061265945,0.00487852236256,0.153127834200859,,,,,,,,,,0.1165969967842102,0.4329395592212677,0.2977823615074157,0.1526810526847839,,,,,,
single_daily,daily,1,concat,5d,27,1250.0289719579741,2553,547,548,0.6155325770378113,0.6788777112960815,-0.04092735191813761,-0.0936077179200059,0.5127301214257736,0.553419828414917,0.0759601891040802,5.164027690887451,1.9216623306274414,-0.13489913326045871,-0.1583345307360819,0.46983546617915906,1.3838510513305664,0.0752401202917099,5.991497039794922,2.2444097995758057,-0.09753268834962367,-0.10692673349176797,0.5328467153284672,0.9716931581497192,0.07791484147310257,0.0011742518981918693,0.0759601891040802,,,,,,,,,,0.30550774931907654,0.2561173141002655,0.21197137236595154,0.22640356421470642,,,,,,
single_halfday,halfday,1,concat,10d,23,261.12695837498177,2553,547,548,0.0738766267895698,0.1850000917911529,0.0295442297473002,0.0862131243953061,0.527222875048962,0.2524460852146148,0.1072988510131836,0.1146491318941116,0.2269130498170852,0.016731539836902,-0.0048448223270958,0.5210237659963437,0.248111292719841,0.1028362661600112,0.1431721448898315,0.3018614947795868,-0.0382432780138533,0.031158848825923,0.4726277372262774,0.2274316996335983,0.1023615449666976,0.0024258117191493,0.1072988510131836,,,,,0.2134326547384262,0.1302884221076965,0.3193655014038086,0.1783317774534225,0.1585816293954849,,,,,,,,,,
single_halfday,halfday,1,concat,20d,23,254.3147232920164,2553,547,548,332.88433837890625,13.222291946411133,0.0700130064253493,0.1181164876669318,0.5346650998824912,14.378732681274414,0.153127834200859,100.62791442871094,6.286319255828857,0.1233157547580019,0.1597084735038152,0.5740402193784278,9.838236808776855,0.141805037856102,151.59222412109375,7.630702495574951,0.0321012666374219,0.072501885231022,0.5437956204379562,12.12155818939209,0.1454658061265945,0.00487852236256,0.153127834200859,,,,,0.1923400461673736,0.1309639066457748,0.2972904145717621,0.1695484220981598,0.2098571956157684,,,,,,,,,,
single_halfday,halfday,1,concat,5d,45,511.959409166011,2553,547,548,37.26865768432617,4.161663055419922,-0.0181675843790655,0.0429001132065084,0.5236976106541323,6.045186996459961,0.0759601891040802,26.296415328979492,2.7260522842407227,-0.0221590143112734,-0.0480095972563179,0.4789762340036563,5.039581298828125,0.0752401202917099,31.6389102935791,3.4153661727905273,-0.1171739135734371,-0.0091619146837575,0.5145985401459854,5.418900012969971,0.0779148414731025,0.0011742518981918,0.0759601891040802,,,,,0.1157596930861473,0.2384517639875412,0.2104978710412979,0.2286906540393829,0.2065999954938888,,,,,,,,,,
single_hourly,hourly,1,concat,10d,60,736.8976820829557,2553,547,548,0.3341710567474365,0.3631834387779236,-0.0114010911614798,-0.0197834682061909,0.4833529181355268,0.5652452707290649,0.1072988510131836,0.3639582395553589,0.3318918347358703,-0.0190839355544837,-0.0702370175038521,0.4990859232175503,0.5914133787155151,0.1028362661600112,0.4465501308441162,0.4825411736965179,-0.0018605580608849,0.0858371397383949,0.5182481751824818,0.5485950708389282,0.1023615449666976,0.0024258117191493,0.1072988510131836,0.2326934486627578,0.2014442533254623,0.3254311382770538,0.2404311746358871,,,,,,,,,,,,,,,
single_hourly,hourly,1,concat,20d,38,455.8948236249853,2553,547,548,0.2267359644174575,0.35345458984375,0.023654243552511,0.0149597064729191,0.5291813552683118,0.4007438123226166,0.153127834200859,0.5194193124771118,0.5807412266731262,-0.156537816863102,-0.205325335521097,0.5100548446069469,0.4988543689250946,0.141805037856102,0.8879292011260986,0.8823012709617615,-0.1426234784316711,-0.1249569162265152,0.5145985401459854,0.4355214834213257,0.1454658061265945,0.00487852236256,0.153127834200859,0.2111568450927734,0.27126345038414,0.3518113791942596,0.1657683402299881,,,,,,,,,,,,,,,
single_hourly,hourly,1,concat,5d,27,327.1232862500474,2553,547,548,6.055655479431152,1.5052342414855957,-0.0163270761705822,-0.0220777827041006,0.4954954954954955,2.0633251667022705,0.0759601891040802,1.950841188430786,0.8700234889984131,-0.1214198118617258,-0.1162048859925242,0.4625228519195612,1.2236061096191406,0.0752401202917099,2.238722562789917,1.1481354236602783,-0.0300034884729789,-0.1013019223322373,0.5291970802919708,1.4477380514144895,0.0779148414731025,0.0011742518981918,0.0759601891040802,0.2263689190149307,0.2052510678768158,0.221170499920845,0.3472095131874084,,,,,,,,,,,,,,,
single_weekly,weekly,1,concat,10d,60,1005.4603567920858,2553,547,548,639.495361328125,19.70220375061035,0.0930288301373694,0.0529052753014882,0.5213474343909127,25.127901077270508,0.1072988510131836,381.1502685546875,15.665715217590332,0.0419454885564189,-0.0034257224091747,0.4826325411334552,14.54905891418457,0.1028362661600112,531.9888916015625,20.054109573364254,-0.0277728532041242,-0.0489206683957998,0.4963503649635036,17.774080276489258,0.1023615449666976,0.0024258117191493,0.1072988510131836,,,,,,,,,,,,,,0.1794205605983734,0.1114824116230011,0.1295192688703537,0.1446852087974548,0.1796243488788604,0.2552681863307953
single_weekly,weekly,1,concat,20d,16,266.5270404579351,2553,547,548,27.628944396972656,3.775360345840454,-0.1485044312086622,-0.1215036905976494,0.4857030943987466,4.694701194763184,0.153127834200859,42.62216567993164,5.050199031829834,-0.2285668353368076,-0.1640738108601301,0.5173674588665448,4.193593502044678,0.141805037856102,72.0447769165039,8.023880958557129,-0.2495922639535121,-0.2417511200386621,0.5291970802919708,2.728158473968506,0.1454658061265945,0.00487852236256,0.153127834200859,,,,,,,,,,,,,,0.1199369505047798,0.1340012997388839,0.2132170498371124,0.1375556588172912,0.2015756219625473,0.1937134265899658
single_weekly,weekly,1,concat,5d,53,872.5584950000048,2553,547,548,11.860015869140623,2.58150863647461,-0.0587578179597003,-0.0271441030333275,0.4872698785742264,3.435624122619629,0.0759601891040802,12.132976531982422,2.7202625274658203,-0.051441060347907,-0.0217655488469419,0.5191956124314442,3.456430435180664,0.0752401202917099,11.223811149597168,2.488348484039306,0.0513335904464746,0.0686714225028106,0.5364963503649635,3.2200357913970947,0.0779148414731025,0.0011742518981918,0.0759601891040802,,,,,,,,,,,,,,0.1164356768131256,0.2105913311243057,0.1683571487665176,0.1790167838335037,0.1717247366905212,0.1538743078708648
