[a5] 24 total runs (group x horizon), fusion=concat
[a5_single_daily_concat_5d] epoch 025/060 val_loss=36.20875883 best_val_loss=34.53692589 bad_epochs=6/8 epoch_time=00:00:44 eta=00:26:00
[a5_single_daily_concat_5d] epoch 026/060 val_loss=82.43415604 best_val_loss=34.53692589 bad_epochs=7/8 epoch_time=00:00:44 eta=00:25:15
[a5_single_daily_concat_5d] epoch 027/060 val_loss=65.97973251 best_val_loss=34.53692589 bad_epochs=8/8 epoch_time=00:00:44 eta=00:24:31
[a5_single_daily_concat_5d] early stopping at epoch 27
[a5] done group=single_daily horizon=5d test_mse=5.991497 test_corr=-0.0975 (overall elapsed 00:34:04)
[a5] === run 4/24: group=single_weekly freqs=['weekly'] fusion=concat horizon=5d ===
[a5_single_weekly_concat_5d] epoch 001/060 val_loss=1443555.60000000 best_val_loss=1443555.60000000 bad_epochs=0/8 epoch_time=00:00:16 eta=00:16:10
[a5_single_weekly_concat_5d] epoch 002/060 val_loss=987279.53750000 best_val_loss=987279.53750000 bad_epochs=0/8 epoch_time=00:00:16 eta=00:15:48
[a5_single_weekly_concat_5d] epoch 003/060 val_loss=834070.90000000 best_val_loss=834070.90000000 bad_epochs=0/8 epoch_time=00:00:16 eta=00:15:29
[a5_single_weekly_concat_5d] epoch 004/060 val_loss=768900.08750000 best_val_loss=768900.08750000 bad_epochs=0/8 epoch_time=00:00:16 eta=00:15:13
[a5_single_weekly_concat_5d] epoch 005/060 val_loss=753572.01250000 best_val_loss=753572.01250000 bad_epochs=0/8 epoch_time=00:00:16 eta=00:14:57
[a5_single_weekly_concat_5d] epoch 006/060 val_loss=645371.13125000 best_val_loss=645371.13125000 bad_epochs=0/8 epoch_time=00:00:16 eta=00:14:42
[a5_single_weekly_concat_5d] epoch 007/060 val_loss=541848.40000000 best_val_loss=541848.40000000 bad_epochs=0/8 epoch_time=00:00:16 eta=00:14:25
[a5_single_weekly_concat_5d] epoch 008/060 val_loss=534915.96250000 best_val_loss=534915.96250000 bad_epochs=0/8 epoch_time=00:00:16 eta=00:14:09
[a5_single_weekly_concat_5d] epoch 009/060 val_loss=390182.15000000 best_val_loss=390182.15000000 bad_epochs=0/8 epoch_time=00:00:16 eta=00:13:52
[a5_single_weekly_concat_5d] epoch 010/060 val_loss=361038.91250000 best_val_loss=361038.91250000 bad_epochs=0/8 epoch_time=00:00:16 eta=00:13:35
[a5_single_weekly_concat_5d] epoch 011/060 val_loss=273123.55000000 best_val_loss=273123.55000000 bad_epochs=0/8 epoch_time=00:00:16 eta=00:13:19
[a5_single_weekly_concat_5d] epoch 012/060 val_loss=251306.26562500 best_val_loss=251306.26562500 bad_epochs=0/8 epoch_time=00:00:16 eta=00:13:03
[a5_single_weekly_concat_5d] epoch 013/060 val_loss=169078.24843750 best_val_loss=169078.24843750 bad_epochs=0/8 epoch_time=00:00:16 eta=00:12:46
[a5_single_weekly_concat_5d] epoch 014/060 val_loss=108609.80468750 best_val_loss=108609.80468750 bad_epochs=0/8 epoch_time=00:00:16 eta=00:12:30
[a5_single_weekly_concat_5d] epoch 015/060 val_loss=21696.15253906 best_val_loss=21696.15253906 bad_epochs=0/8 epoch_time=00:00:16 eta=00:12:13
[a5_single_weekly_concat_5d] epoch 016/060 val_loss=2982.37719727 best_val_loss=2982.37719727 bad_epochs=0/8 epoch_time=00:00:16 eta=00:11:57
[a5_single_weekly_concat_5d] epoch 017/060 val_loss=1557.23269043 best_val_loss=1557.23269043 bad_epochs=0/8 epoch_time=00:00:16 eta=00:11:41
[a5_single_weekly_concat_5d] epoch 018/060 val_loss=1755.26901855 best_val_loss=1557.23269043 bad_epochs=1/8 epoch_time=00:00:16 eta=00:11:24
[a5_single_weekly_concat_5d] epoch 019/060 val_loss=413.38981323 best_val_loss=413.38981323 bad_epochs=0/8 epoch_time=00:00:16 eta=00:11:08
[a5_single_weekly_concat_5d] epoch 020/060 val_loss=371.57609863 best_val_loss=371.57609863 bad_epochs=0/8 epoch_time=00:00:16 eta=00:10:52
[a5_single_weekly_concat_5d] epoch 021/060 val_loss=360.03955078 best_val_loss=360.03955078 bad_epochs=0/8 epoch_time=00:00:16 eta=00:10:36
[a5_single_weekly_concat_5d] epoch 022/060 val_loss=352.84736938 best_val_loss=352.84736938 bad_epochs=0/8 epoch_time=00:00:16 eta=00:10:20
[a5_single_weekly_concat_5d] epoch 023/060 val_loss=347.59109192 best_val_loss=347.59109192 bad_epochs=0/8 epoch_time=00:00:16 eta=00:10:03
[a5_single_weekly_concat_5d] epoch 024/060 val_loss=342.59289856 best_val_loss=342.59289856 bad_epochs=0/8 epoch_time=00:00:16 eta=00:09:47
